player_name,opponent_name,stochastic,memory_depth,mean_score,std_score,mean_score_diff,std_score_diff,mean_first_defection,round_1,round_2,round_3,round_4,round_5,round_6,round_7,round_8,round_9,round_10,C_prob,CC,CD,DC,DD,CCCC,CCCD,CCDC,CCDD,CDCC,CDCD,CDDC,CDDD,DCCC,DCCD,DCDC,DCDD,DDCC,DDCD,DDDC,DDDD,CC_pct,CD_pct,DC_pct,DD_pct,CCCC_pct,CCCD_pct,CCDC_pct,CCDD_pct,CDCC_pct,CDCD_pct,CDDC_pct,CDDD_pct,DCCC_pct,DCCD_pct,DCDC_pct,DCDD_pct,DDCC_pct,DDCD_pct,DDDC_pct,DDDD_pct
Soft Go By Majority: 20,Math Constant Hunter,False,20,3.0,0.0,0.0,0.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soft Go By Majority: 20,Limited Retaliate (0.1-20),False,20,3.0,0.0,0.0,0.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soft Go By Majority: 20,Limited Retaliate (0.08-15),False,20,3.0,0.0,0.0,0.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soft Go By Majority: 20,Limited Retaliate (0.05-20),False,20,3.0,0.0,0.0,0.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soft Go By Majority: 20,Joss: 0.9,False,20,2.683635,0.182858584089,-0.491875,0.110128830807,197.076,1.0,1.0,1.0,0.989,0.998,0.986,0.996,0.986,0.994,0.986,0.9892,1.0,0.9958242094006213,0.9861111111111112,0.0,0.9999873941105284,0.9990369908797372,NA,NA,0.9996582754300034,0.9932043910088866,0.5555555555555556,0.0,NA,0.5633802816901409,NA,0.0,NA,NA,NA,0.0,0.8905226130653267,0.9962970112861995,0.9732076977529667,0.09533255779865596,0.8097420128761407,0.9912744394416251,0.0,0.0,0.470991300608166,0.09700176239663941,0.9604740898374559,0.11786181942869946,0.0,0.45402386815064855,0.0,0.011650467195169772,0.0,0.0,0.0,0.010434343434343435
Soft Go By Majority: 20,Inverse Punisher,False,20,3.0,0.0,0.0,0.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soft Go By Majority: 20,Inverse,False,20,3.0,0.0,0.0,0.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soft Go By Majority: 20,Hesitant QLearner,False,20,2.852525,0.045546672491,-0.2453,0.0758644185373,188.718,1.0,0.945,1.0,0.996,1.0,1.0,1.0,1.0,1.0,1.0,0.999705,1.0,0.9939991863303499,1.0,NA,1.0,1.0,NA,NA,1.0,1.0,1.0,NA,1.0,1.0,NA,NA,NA,NA,NA,NA,0.9502964824120603,0.9939394866850747,0.9680981156268331,0.0,0.9034242424242425,0.98729735917369,0.0,0.0,0.48261499811269465,0.04972516718558966,0.9527239991203479,0.0,0.4733312636605712,0.03130067137034718,0.0,0.0,0.0,0.0,0.0,0.0
Soft Go By Majority: 20,Hard Tit For Tat,False,20,3.0,0.0,0.0,0.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soft Go By Majority: 20,Hard Tit For 2 Tats,False,20,3.0,0.0,0.0,0.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soft Go By Majority: 20,Hard Prober,False,20,2.94,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.945,1.0,0.1,0.9,0.0,1.0,NA,NA,NA,1.0,NA,1.0,1.0,NA,1.0,1.0,NA,NA,NA,1.0,NA,0.8944723618090452,0.47755158939958553,0.8758333219165062,0.045673628643562086,0.9993787788343026,0.0,0.0,0.0,0.005262038907196768,0.0,0.04040404040404041,0.00555267823099097,0.0,0.04760754470945759,0.005583509510622782,0.0,0.0,0.0,0.005614684111734769,0.0
Soft Go By Majority: 20,Hard Go By Majority: 5,False,20,2.935,0.0,-0.025,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.95,1.0,0.09090909090909091,1.0,NA,1.0,NA,NA,NA,1.0,NA,1.0,NA,NA,1.0,NA,NA,NA,NA,NA,NA,0.8944723618090452,0.502409915079183,0.877432946752379,0.0,0.9412365042702906,0.0,0.0,0.0,0.35390102438808524,0.0,0.050505050505050504,0.0,0.0,0.8339072314327696,0.0,0.0,0.0,0.0,0.0,0.0
Soft Go By Majority: 20,Hard Go By Majority: 40,False,20,2.935,0.0,-0.025,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.95,1.0,0.09090909090909091,1.0,NA,1.0,NA,NA,NA,1.0,NA,1.0,NA,NA,1.0,NA,NA,NA,NA,NA,NA,0.8944723618090452,0.502409915079183,0.877432946752379,0.0,0.9412365042702906,0.0,0.0,0.0,0.35390102438808524,0.0,0.050505050505050504,0.0,0.0,0.8339072314327696,0.0,0.0,0.0,0.0,0.0,0.0
Soft Go By Majority: 20,Hard Go By Majority: 20,False,20,2.375,0.0,-0.25,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.525,NA,0.08653846153846154,1.0,NA,NA,NA,NA,NA,NA,1.0,1.0,NA,NA,1.0,NA,NA,NA,NA,NA,NA,0.0,0.5226130653266332,0.9945289073596717,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.5025246453474392,0.0,0.0,0.994204221015701,0.0,0.0,0.0,0.0,0.0,0.0
Soft Go By Majority: 20,Hard Go By Majority: 10,False,20,1.07,0.0,-0.025,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.03,NA,0.0,1.0,0.0,NA,NA,NA,NA,NA,NA,0.0,0.0,NA,0.0,NA,NA,NA,NA,NA,0.0,0.0,0.5023138409760202,0.7755500152971032,0.9447236180904522,0.0,0.0,0.0,0.0,0.0,0.0,0.41860465116279066,0.32871860638440653,0.0,0.6790665028952447,0.0,0.0,0.0,0.0,0.0,0.9444444444444444
Soft Go By Majority: 20,Hard Go By Majority,False,20,2.935,0.0,-0.025,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.95,1.0,0.09090909090909091,1.0,NA,1.0,NA,NA,NA,1.0,NA,1.0,NA,NA,1.0,NA,NA,NA,NA,NA,NA,0.8944723618090452,0.502409915079183,0.877432946752379,0.0,0.9412365042702906,0.0,0.0,0.0,0.35390102438808524,0.0,0.050505050505050504,0.0,0.0,0.8339072314327696,0.0,0.0,0.0,0.0,0.0,0.0
Soft Go By Majority: 20,Grumpy,False,20,3.0,0.0,0.0,0.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soft Go By Majority: 20,Grudger,False,20,3.0,0.0,0.0,0.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soft Go By Majority: 20,Grofman,False,20,3.0,0.0,0.0,0.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soft Go By Majority: 20,GTFT: 0.33,False,20,3.0,0.0,0.0,0.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soft Go By Majority: 20,Forgiving Tit For Tat,False,20,3.0,0.0,0.0,0.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soft Go By Majority: 20,Forgiver,False,20,3.0,0.0,0.0,0.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soft Go By Majority: 20,Forgetful Grudger,False,20,3.0,0.0,0.0,0.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soft Go By Majority: 20,Forgetful Fool Me Once,False,20,3.0,0.0,0.0,0.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soft Go By Majority: 20,Fool Me Once,False,20,3.0,0.0,0.0,0.0,200.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soft Go By Majority: 20,Fool Me Forever,False,20,2.995,0.0,0.025,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.985,1.0,0.0,0.5,0.0,1.0,NA,NA,NA,NA,NA,NA,1.0,1.0,NA,1.0,NA,NA,NA,1.0,NA,0.9798994974874372,0.23919400635314922,0.5848122898755457,0.20080726538849644,0.9797979797979798,0.0,0.0,0.0,0.0,0.0,0.0,0.23919958048058498,0.20081135902636918,0.0,0.2924139984415407,0.0,0.0,0.0,0.3687012573549366,0.0
