player_name,stochastic,memory_depth,mean_score,std_score,mean_score_diff,std_score_diff,mean_first_defection,round_1,round_2,round_3,round_4,round_5,round_6,round_7,round_8,round_9,round_10,C_prob,CC,CD,DC,DD,CCCC,CCCD,CCDC,CCDD,CDCC,CDCD,CDDC,CDDD,DCCC,DCCD,DCDC,DCDD,DDCC,DDCD,DDDC,DDDD,CC_pct,CD_pct,DC_pct,DD_pct,CCCC_pct,CCCD_pct,CCDC_pct,CCDD_pct,CDCC_pct,CDCD_pct,CDDC_pct,CDDD_pct,DCCC_pct,DCCD_pct,DCDC_pct,DCDD_pct,DDCC_pct,DDCD_pct,DDDC_pct,DDDD_pct,tournament_score_mean,tournament_score_std,tournament_win_mean,tournament_win_std
Cycler CCD,False,2,2.32105994937,0.990430696327,-0.408499539736,1.48357534684,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.67,0.44456165265276515,0.5655330916361095,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,NA,NA,1.0,1.0,NA,NA,0.34128663726797254,0.631197401464452,0.999999681792905,0.21339049308269137,0.15294582947191102,0.024216566547059233,0.7121533744993551,0.4801293290688564,0.07686443321537499,0.12626721294578439,0.999992585481874,0.3369386166189473,0.176456859376508,0.13555270241943623,0.0,0.0,0.44261799890413084,0.23285683542671914,0.0,0.0,2.11602371134,0.0166087625906,75.72,1.64972725018
Cycler CCCD,False,3,2.30397054311,0.968879200461,-0.62102255293,1.48710890206,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.75,0.6374643765411483,0.7004984446090672,1.0,1.0,0.4404925787691091,0.6150220485045409,1.0,1.0,0.7032945279085052,0.5027657723522095,1.0,1.0,1.0,1.0,NA,NA,1.0,1.0,NA,NA,0.4045644036509076,0.705932658435185,0.9999995488985163,0.16922835207467266,0.23543841475984334,0.04725254688516804,0.7737769106150696,0.9999892957142685,0.0691216555072876,0.27737598414559944,0.02232627604663891,0.34072349506416066,0.18864100165083075,0.14363903966623956,0.0,0.0,0.626301028032549,0.23256916530554395,0.0,0.0,2.04326134021,0.0177827743089,77.7,1.68226038413
Cycler CCCCCD,False,5,2.2807431344,0.947831975011,-0.848954817429,1.49500081417,5.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.835,0.7810442992236818,0.8275973665126732,1.0,1.0,0.7229361564339577,0.8255617118430691,1.0,1.0,0.8138478791733218,0.7648044072538862,1.0,1.0,1.0,1.0,NA,NA,1.0,1.0,NA,NA,0.4729203671418316,0.7810461464311789,0.999999303057971,0.12248310500856202,0.45006899403831446,0.09241729880653389,0.22440472624295366,0.05936880955933357,0.7576930179036392,0.24464455782312924,0.02658790864030252,0.4354381706642883,0.21503540639659485,0.18161583642151005,0.0,0.0,0.9999909951383037,0.27856621420000083,0.0,0.0,1.98315979381,0.0154655935518,70.0,1.46969384567
Cycle Hunter,False,inf,2.52568790273,0.732827788423,-0.786750153421,1.22320118978,186.8633673469388,1.0,1.0,1.0,1.0,1.0,1.0,0.98843877551,0.989367346939,0.967418367347,0.978612244898,0.9606107142857143,0.9996179818915554,0.9996624475291052,0.002298636938640428,0.007389070488991157,0.9996082459645168,0.9969934550397179,0.073433512900482,0.4814143245693563,0.999891068347185,0.9999887915300318,0.09605488850771869,0.6086956521739131,1.0,1.0,0.0019068594166136007,0.0006097048187704987,1.0,1.0,0.0012545156269011786,0.80248833592535,0.7695181007076197,0.8760560182182698,0.9999967774849572,0.05356364067158717,0.7577278033690042,0.30366286228394973,0.0007596133347944226,0.9984372534875187,0.9945622083500377,0.7116749685475807,0.00025131342675324973,0.00022586361544136923,0.0009470929539367176,0.00035469043102229577,0.4110072297016137,0.2558905317088201,0.0027060645067124587,0.0007279109761200452,0.012283389930906953,3.313749742321171e-05,2.4499628866,0.0182364884824,8.3,0.911043357914
Cooperator Hunter,False,inf,2.45950042191,0.936450183772,-0.818001112304,1.69625353157,68.38,1.0,1.0,1.0,1.0,0.328469387755,0.346306122449,0.683816326531,0.750734693878,0.771091836735,0.797306122449,0.9296551530612245,0.9947035492577967,1.0,0.0,1.0,0.9943378273655961,1.0,0.0,1.0,1.0,1.0,NA,NA,NA,NA,0.0,1.0,1.0,1.0,NA,NA,0.6371296277304892,0.9999998539922177,0.18712336986624548,0.008508204614520893,0.5990411319235538,0.24392261382828134,0.008234713528216264,9.008451865594722e-05,0.9114097399660385,0.6434494570422881,0.0,0.0,0.0,0.0,0.6150645290718245,0.8442892095425995,0.9996393112176246,0.02376572085293086,0.0,0.0,2.24761701031,0.0290014694427,35.92,2.43178946457
Cooperator,False,0,2.51345332157,0.743820925415,-0.810911130715,1.23970154236,200.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,NA,1.0,1.0,NA,NA,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.795765306122449,0.9999998002088516,0.0,0.0,0.7625106679035251,0.5007445496346407,0.0,0.0,0.9999969197286783,0.7201283549705271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38129948454,0.0161632821421,0.0,0.0
Champion,True,inf,2.6834069898,0.577813556825,-0.273434693878,0.478026967816,140.25266326530613,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9160592857142857,1.0,0.6696155384553284,1.0,0.10617354311203654,1.0,0.7047790366895718,NA,NA,1.0,0.7438730640563498,1.0,0.309296832549079,1.0,0.37328311918475854,NA,NA,1.0,0.2729237537406962,1.0,0.054648169939849695,0.8461950056404471,0.8195926566995113,0.9999929597621396,0.4457494229244707,0.8377148050157991,0.31275699330220613,0.0,0.0,0.16147798338357425,0.021459441352298495,0.06975736983207016,0.014247876795717823,0.11674226716244879,0.07532641721286505,0.0,0.0,0.05573107166545763,0.058797582468744634,0.09766710186304695,0.9999982919040423,2.68076804124,0.0153034379154,0.0,0.0
Cautious QLearner,True,inf,2.28212428571,0.8750372614,-0.782505867347,1.16478227578,29.081214285714285,0.949071428571,0.949714285714,0.95093877551,0.949418367347,0.949193877551,0.950785714286,0.948897959184,0.950010204082,0.95037755102,0.948693877551,0.8573944897959184,0.950103701992863,0.9267908822507355,0.9500938462202027,0.1103449012725753,0.9501155554598011,0.9501679533586599,0.950088033262521,0.9493825874016568,0.9497249048386829,0.9483758439493413,0.9508451684197602,0.37370810906594015,0.9503916963817062,0.9502077721778983,0.949599887687772,0.949424485524939,0.9517557761281175,0.4472387538250247,0.9493789133508382,0.0516175762401474,0.6642615116398318,0.8398737262745832,0.9999974696910614,0.31447577683847466,0.66159832159749,0.27709316038646786,0.1027364379156972,0.9999149931260851,0.9591962485830137,0.4921649679912836,0.009249929860423908,0.012808100615171564,0.21119001236184246,0.18052319805330963,0.02012667711064459,0.01332174571944906,0.059900180034425314,0.13365730390589398,0.03807157564360491,0.09171340960626675,2.27668402062,0.028387644904,62.26,3.73796736208
Calculator,True,inf,2.11662647959,1.15775341552,0.635928571429,1.38364032666,6.187224489795918,1.0,0.73056122449,0.76862244898,0.700612244898,0.747571428571,0.676071428571,0.69093877551,0.64256122449,0.658714285714,0.588540816327,0.27876545918367346,0.9715274851240973,0.0,0.2984870882474604,0.0,0.9737185330728012,0.0,0.6904973208305425,0.0,NA,NA,0.9702835672174708,0.0,0.9639078560493767,0.0,0.005565132927003036,0.0,NA,NA,0.49065754589791616,0.0,0.22862890985539944,0.22096462924347907,0.9999996668857893,0.7043967501337002,0.20448242630385488,0.02444187465949801,0.00773764400901618,0.0007685155112839716,0.0,0.0,0.039329728919865616,0.029922218337156473,0.02987576439339701,0.040406264907257586,0.15893965493331313,0.03264548411494629,0.0,0.0,0.07334962721681118,0.9999999342712153,2.12523453608,0.0506665971745,126.72,5.55352140538
Bully,False,1,2.33951480515,1.40296547588,-0.00812845197913,2.83151759111,200.0,0.0,0.189530612245,0.55862244898,0.595663265306,0.435132653061,0.418040816327,0.463020408163,0.494928571429,0.550030612245,0.545357142857,0.5066041836734694,0.0,1.0,0.0,1.0,NA,NA,0.0,1.0,0.0,1.0,NA,NA,NA,NA,0.0,1.0,0.0,1.0,NA,NA,0.1218379140600964,0.5103964734459241,0.9999998924516246,0.1417348912021071,0.0,0.0,0.15183475181778816,0.29059837350551243,0.14146005130844827,0.3005312306740878,0.0,0.0,0.0,0.0,0.8275175624226702,0.2560073375252211,0.9999971416857963,0.16903254061552078,0.0,0.0,2.33470309278,0.0284816341135,97.32,1.94360489812
